Npp	Dev	SN	Date	QR
104	БИП-G.1.01.1110	00000182	09.2022	IIOTSENSE.RU/P?D10000018210111100729
105	БИП-G.1.01.1110	00000118	09.2022	IIOTSENSE.RU/P?D10000011810111100590
106	БИП-G.1.01.1110	00000214	09.2022	IIOTSENSE.RU/P?D10000021410111103607
107	БИП-G.1.01.1110	00000150	09.2022	IIOTSENSE.RU/P?D10000015010111101091
108	БИП-G.1.01.1110	00000181	09.2022	IIOTSENSE.RU/P?D10000018110111101527
109	БИП-G.1.01.1110	00000117	09.2022	IIOTSENSE.RU/P?D10000011710111107055
110	БИП-G.1.01.1110	00000213	09.2022	IIOTSENSE.RU/P?D10000021310111108918
111	БИП-G.1.01.1110	00000149	09.2022	IIOTSENSE.RU/P?D10000014910111103366
112	БИП-G.1.01.1110	00000174	09.2022	IIOTSENSE.RU/P?D10000017410111102696
113	БИП-G.1.01.1110	00000110	09.2022	IIOTSENSE.RU/P?D10000011010111107086
114	БИП-G.1.01.1110	00000206	09.2022	IIOTSENSE.RU/P?D10000020610111106671
115	БИП-G.1.01.1110	00000142	09.2022	IIOTSENSE.RU/P?D10000014210111103733
116	БИП-G.1.01.1110	00000173	09.2022	IIOTSENSE.RU/P?D10000017310111102241
117	БИП-G.1.01.1110	00000109	09.2022	IIOTSENSE.RU/P?D10000010910111104723
118	БИП-G.1.01.1110	00000205	09.2022	IIOTSENSE.RU/P?D10000020510111100830
119	БИП-G.1.01.1110	00000141	09.2022	IIOTSENSE.RU/P?D10000014110111101124
120	БИП-G.1.01.1110	00000190	09.2022	IIOTSENSE.RU/P?D10000019010111104345
121	БИП-G.1.01.1110	00000126	09.2022	IIOTSENSE.RU/P?D10000012610111107235
122	БИП-G.1.01.1110	00000222	09.2022	IIOTSENSE.RU/P?D10000022210111108864
123	БИП-G.1.01.1110	00000158	09.2022	IIOTSENSE.RU/P?D10000015810111106993
124	БИП-G.1.01.1110	00000189	09.2022	IIOTSENSE.RU/P?D10000018910111105784
125	БИП-G.1.01.1110	00000125	09.2022	IIOTSENSE.RU/P?D10000012510111108133
126	БИП-G.1.01.1110	00000221	09.2022	IIOTSENSE.RU/P?D10000022110111101192
127	БИП-G.1.01.1110	00000157	09.2022	IIOTSENSE.RU/P?D10000015710111100519
128	БИП-G.1.01.1110	00000300	09.2022	IIOTSENSE.RU/P?D10000030010111109530
129	БИП-G.1.01.1110	00000236	09.2022	IIOTSENSE.RU/P?D10000023610111104640
130	БИП-G.1.01.1110	00000332	09.2022	IIOTSENSE.RU/P?D10000033210111108336
131	БИП-G.1.01.1110	00000268	09.2022	IIOTSENSE.RU/P?D10000026810111102518
132	БИП-G.1.01.1110	00000299	09.2022	IIOTSENSE.RU/P?D10000029910111102913
133	БИП-G.1.01.1110	00000235	09.2022	IIOTSENSE.RU/P?D10000023510111102847
134	БИП-G.1.01.1110	00000331	09.2022	IIOTSENSE.RU/P?D10000033110111109911
135	БИП-G.1.01.1110	00000267	09.2022	IIOTSENSE.RU/P?D10000026710111106984
136	БИП-G.1.01.1110	00000316	09.2022	IIOTSENSE.RU/P?D10000031610111108475
137	БИП-G.1.01.1110	00000252	09.2022	IIOTSENSE.RU/P?D10000025210111108340
138	БИП-G.1.01.1110	00000348	09.2022	IIOTSENSE.RU/P?D10000034810111106355
139	БИП-G.1.01.1110	00000284	09.2022	IIOTSENSE.RU/P?D10000028410111104131
140	БИП-G.1.01.1110	00000315	09.2022	IIOTSENSE.RU/P?D10000031510111102454
141	БИП-G.1.01.1110	00000251	09.2022	IIOTSENSE.RU/P?D10000025110111106973
142	БИП-G.1.01.1110	00000347	09.2022	IIOTSENSE.RU/P?D10000034710111105871
