Npp	Dev	SN	Date	QR
1	БИП-К.2.01.00	00020061	10.2021	IIOTSENSE.RU/P?K00020061201000195
2	БИП-К.2.01.00	00020062	10.2021	IIOTSENSE.RU/P?K00020062201000324
3	БИП-К.2.01.00	00020063	10.2021	IIOTSENSE.RU/P?K00020063201000830
4	БИП-К.2.01.00	00020064	10.2021	IIOTSENSE.RU/P?K00020064201000214
5	БИП-К.2.01.00	00020065	10.2021	IIOTSENSE.RU/P?K00020065201006596
6	БИП-К.2.01.00	00020066	10.2021	IIOTSENSE.RU/P?K00020066201007454
7	БИП-К.2.01.00	00020067	10.2021	IIOTSENSE.RU/P?K00020067201009878
8	БИП-К.2.01.00	00020068	10.2021	IIOTSENSE.RU/P?K00020068201006847
9	БИП-К.2.01.00	00020069	10.2021	IIOTSENSE.RU/P?K00020069201009038
10	БИП-К.2.01.00	00020070	10.2021	IIOTSENSE.RU/P?K00020070201001906
11	БИП-К.2.01.00	00020071	10.2021	IIOTSENSE.RU/P?K00020071201001827
12	БИП-К.2.01.00	00020072	10.2021	IIOTSENSE.RU/P?K00020072201007484
13	БИП-К.2.01.00	00020073	10.2021	IIOTSENSE.RU/P?K00020073201005292
14	БИП-К.2.01.00	00020074	10.2021	IIOTSENSE.RU/P?K00020074201007889
15	БИП-К.2.01.00	00020075	10.2021	IIOTSENSE.RU/P?K00020075201000966
16	БИП-К.2.01.00	00020076	10.2021	IIOTSENSE.RU/P?K00020076201005109
17	БИП-К.2.01.00	00020077	10.2021	IIOTSENSE.RU/P?K00020077201009300
18	БИП-К.2.01.00	00020078	10.2021	IIOTSENSE.RU/P?K00020078201007900
19	БИП-К.2.01.00	00020079	10.2021	IIOTSENSE.RU/P?K00020079201007323
20	БИП-К.2.01.00	00020080	10.2021	IIOTSENSE.RU/P?K00020080201001186
21	БИП-К.2.01.00	00020081	10.2021	IIOTSENSE.RU/P?K00020081201004172
22	БИП-К.2.01.00	00020082	10.2021	IIOTSENSE.RU/P?K00020082201005643
23	БИП-К.2.01.00	00020083	10.2021	IIOTSENSE.RU/P?K00020083201009167
24	БИП-К.2.01.00	00020084	10.2021	IIOTSENSE.RU/P?K00020084201002446
25	БИП-К.2.01.00	00020085	10.2021	IIOTSENSE.RU/P?K00020085201000138
26	БИП-К.2.01.00	00020086	10.2021	IIOTSENSE.RU/P?K00020086201002277
27	БИП-К.2.01.00	00020087	10.2021	IIOTSENSE.RU/P?K00020087201008006
28	БИП-К.2.01.00	00020088	10.2021	IIOTSENSE.RU/P?K00020088201000271
29	БИП-К.2.01.00	00020089	10.2021	IIOTSENSE.RU/P?K00020089201002947
30	БИП-К.2.01.00	00020090	10.2021	IIOTSENSE.RU/P?K00020090201004195
